========================================
RESUMO GERAL DO ESTUDO COMPARATIVO
========================================
Data/Hora: 28/09/2025 12:19:48
Threshold Otimo Determinado: M=75
Total de Testes Realizados: 102
----------------------------------------


=== RESULTADOS PARA: ALEATORIO ===
Tamanho: 100 | Quicksort Recursivo: 0,065 ms | OK
Tamanho: 5000 | Quicksort Hibrido (M=75): 0,377 ms | OK
Tamanho: 5000 | Quicksort Hibrido Melhorado (M=75, Mediana-de-3): 0,386 ms | OK
Tamanho: 10000 | Quicksort Recursivo: 0,919 ms | OK
Tamanho: 10000 | Quicksort Hibrido (M=75): 0,807 ms | OK
Tamanho: 10000 | Quicksort Hibrido Melhorado (M=75, Mediana-de-3): 1,086 ms | OK

=== RESULTADOS PARA: PIOR CASO ===
Tamanho: 100 | Quicksort Recursivo: 0,025 ms | OK
Tamanho: 100 | Quicksort Hibrido (M=75): 0,009 ms | OK
Tamanho: 100 | Quicksort Hibrido Melhorado (M=75, Mediana-de-3): 0,002 ms | OK
Tamanho: 500 | Quicksort Recursivo: 0,314 ms | OK
Tamanho: 500 | Quicksort Hibrido (M=75): 0,303 ms | OK
Tamanho: 500 | Quicksort Hibrido Melhorado (M=75, Mediana-de-3): 0,006 ms | OK
Tamanho: 1000 | Quicksort Recursivo: 2,119 ms | OK
Tamanho: 1000 | Quicksort Hibrido (M=75): 1,209 ms | OK
Tamanho: 1000 | Quicksort Hibrido Melhorado (M=75, Mediana-de-3): 0,011 ms | OK
Tamanho: 2000 | Quicksort Recursivo: 4,864 ms | OK
Tamanho: 2000 | Quicksort Hibrido (M=75): 4,880 ms | OK
Tamanho: 2000 | Quicksort Hibrido Melhorado (M=75, Mediana-de-3): 0,037 ms | OK
Tamanho: 5000 | Quicksort Recursivo: 30,561 ms | OK
Tamanho: 5000 | Quicksort Hibrido (M=75): 30,892 ms | OK
Tamanho: 5000 | Quicksort Hibrido Melhorado (M=75, Mediana-de-3): 0,075 ms | OK
Tamanho: 10000 | Quicksort Recursivo: 132,495 ms | OK
Tamanho: 10000 | Quicksort Hibrido (M=75): 120,987 ms | OK
Tamanho: 10000 | Quicksort Hibrido Melhorado (M=75, Mediana-de-3): 0,159 ms | OK
Tamanho: 100 | Quicksort Recursivo: 0,015 ms | OK
Tamanho: 100 | Quicksort Hibrido (M=75): 0,007 ms | OK
Tamanho: 100 | Quicksort Hibrido Melhorado (M=75, Mediana-de-3): 0,003 ms | OK
Tamanho: 200 | Quicksort Recursivo: 0,059 ms | OK
Tamanho: 200 | Quicksort Hibrido (M=75): 0,052 ms | OK
Tamanho: 200 | Quicksort Hibrido Melhorado (M=75, Mediana-de-3): 0,006 ms | OK
Tamanho: 500 | Quicksort Recursivo: 0,314 ms | OK
Tamanho: 500 | Quicksort Hibrido (M=75): 0,300 ms | OK
Tamanho: 500 | Quicksort Hibrido Melhorado (M=75, Mediana-de-3): 0,006 ms | OK
Tamanho: 1000 | Quicksort Recursivo: 1,231 ms | OK
Tamanho: 1000 | Quicksort Hibrido (M=75): 1,206 ms | OK
Tamanho: 1000 | Quicksort Hibrido Melhorado (M=75, Mediana-de-3): 0,011 ms | OK

========================================
ESTRUTURA DOS ARQUIVOS GERADOS:
arrays_testados/
|-- aleatorio/
|   |-- arrays_originais/
|   |-- arrays_ordenados/
|   |-- resultados/
|-- ordenado/
|   |-- arrays_originais/
|   |-- arrays_ordenados/
|   |-- resultados/
|-- ... (outros tipos)
========================================
